,ADM0_A3,net_export,population,final_demand,CONTINENT,CONTINENT_code,demand_capita,net_export_capita,colors
61,CRI,33.36488128147471,4841872.435015336,55061557.150409535,North America,3,11.371955351862784,6.890904650892364e-06,#a6cee3
62,VUT,33.74120236747955,304752.3538282409,631055.7896363199,Oceania,4,2.070716703937205,0.00011071679002189486,#386cb0
63,WSM,34.239459454547294,256394.8933137402,905419.0256080062,Oceania,4,3.531345784255075,0.00013354189317901053,#386cb0
64,GRL,34.45131102930636,57713.64826779003,2200413.6646419754,North America,3,38.12640043880272,0.0005969352495176367,#a6cee3
65,GAB,40.510756768485635,3380837.4190545925,10599981.804111639,Africa,0,3.135312495173396,1.1982462256293278e-05,#7fc97f
66,AND,45.765326815289754,108426.25682103666,2857465.8063237714,Europe,2,26.354002158722235,0.00042208712314792786,#fdc086
67,YEM,45.96507624026526,30427376.92793264,31664818.32339882,Asia,1,1.0406686845993023,1.510648661865718e-06,#beaed4
68,ABW,50.32027592956327,31020.02122089816,2455684.8661012086,North America,3,79.16451277108786,0.0016221870246711032,#a6cee3
69,BLZ,54.132217768240935,441489.9750487011,1811057.4355331745,North America,3,4.102148492348881,0.0001226125638804586,#a6cee3
70,CYM,56.86093619847755,76245.85893920258,4877382.477385685,North America,3,63.96914593453323,0.0007457576973959688,#a6cee3
71,CPV,65.99711003803773,546389.9238095387,1289046.866406279,Africa,0,2.3592068781554185,0.00012078756792931468,#7fc97f
72,PYF,68.5972126945492,315490.16682061437,5515386.331644924,Oceania,4,17.48195954006052,0.00021743058867997343,#386cb0
73,SMR,72.3587789083251,6383.400437729859,890122.7091656955,Europe,2,139.44334494582506,0.011335459777932747,#fdc086
74,BRB,81.24588741107635,290771.6378455447,4451060.078709072,North America,3,15.307751855335477,0.0002794147600263319,#a6cee3
75,GIN,81.30961371579178,12555206.720345592,11086966.976596214,Africa,0,0.8830573023246117,6.476166862631607e-06,#7fc97f
76,NCL,82.94876383389247,299602.1248526233,9709134.815597653,Oceania,4,32.40676220295051,0.00027686306922788224,#386cb0
