,ADM0_A3,NAME,net_export,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,Colony,Colony_code
168,TGO,Togo,-171.84198448250072,8768743.437372752,4905867364.789344,Africa,0,-1.959710484287897e-05,FRA_colony,3
169,TTO,Trinidad and Tobago,844.7212376826797,1390743.456647951,22658152372.447006,North America,3,0.0006073882524090208,GBR_colony,4
170,TUN,Tunisia,235.43696678043943,11844807.184454134,45886418391.28328,Africa,0,1.9876808724201238e-05,FRA_colony,3
171,TUR,Turkey,25674.210780855246,81192448.9063638,810738613971.6173,Asia,1,0.00031621426778818246,Z_Other,11
172,TKM,Turkmenistan,3193.3850884839944,9951125.607911114,40402265228.78,Asia,1,0.0003209069219209999,RUS_colony,9
173,UGA,Uganda,-1989.5259543488742,42487793.89071937,27027814176.71659,Africa,0,-4.682582389346996e-05,GBR_colony,4
174,UKR,Ukraine,-12780.54586826509,41531320.2186674,100073901020.47127,Europe,2,-0.00030773271355145893,RUS_colony,9
175,ARE,United Arab Emirates,14722.513309786957,8984043.14446557,263465137586.76724,Asia,1,0.0016387402723968942,GBR_colony,4
176,GBR,United Kingdom,27933.41157481333,67870154.6076861,2739457652435.5234,Europe,2,0.00041157135616204935,A_Colonizer,0
177,TZA,Tanzania,604.0797819972022,56409386.32829301,50204638629.211525,Africa,0,1.0708852219762875e-05,GBR_colony,4
178,USA,United States of America,143944.0207028626,345311178.86014754,19592997213328.26,North America,3,0.0004168530575176094,A_Colonizer,0
179,URY,Uruguay,438.09701970339756,3395010.2664307333,51943409392.89977,South America,6,0.0001290414417992264,Z_Other,11
180,UZB,Uzbekistan,5240.532562348583,33101538.034843106,75304730468.3166,Asia,1,0.0001583168901950215,RUS_colony,9
181,VUT,Vanuatu,32.5862412340666,304752.3538282409,631055789.6363199,Oceania,4,0.00010692695503324079,GBR_colony,4
182,VEN,Venezuela,14588.784775201462,32290327.555760123,387381027137.7141,South America,6,0.00045180045789281674,Z_Other,11
183,VNM,Vietnam,-21990.234198175836,98951432.16782682,199528072175.20435,Asia,1,-0.00022223260155425793,FRA_colony,3
184,YEM,Yemen,-156.56802725350008,30427376.92793264,31664818323.398823,Asia,1,-5.145630121989551e-06,GBR_colony,4
185,ZMB,Zambia,188.92746926921063,18616945.770926997,22021205628.327152,Africa,0,1.014814522177143e-05,GBR_colony,4
186,ZWE,Zimbabwe,162.21683066450578,14269305.281846115,19620512884.431007,Africa,0,1.1368236046563769e-05,GBR_colony,4
