,ADM0_A3,NAME,net_export,export_of_death,import_of_death,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,final_demand_capita
106,MLI,Mali,-78.8236152691448,497.76612760673714,576.5897428758819,23289677.19905054,16139237261.67673,Africa,0,-3.3844872385074634e-06,692.9781432236719
107,MLT,Malta,207.14078260906325,305.19028032018457,98.0494977111213,441378.0929969541,9564429573.161589,Europe,2,0.0004693046299660656,21669.470517259204
108,MRT,Mauritania,212.05235706124432,311.25322867672946,99.20087161548516,4696065.269056267,5982346814.403344,Africa,0,4.515532576996292e-05,1273.9062324841946
109,MUS,Mauritius,360.9841049976285,484.970017589898,123.98591259226953,1291253.816722544,11156822180.415552,Other,5,0.0002795609200318781,8640.301415513923
110,MEX,Mexico,-5959.941215928113,13771.082478575423,19731.023694503536,140388741.60143444,1090579132593.8373,North America,3,-4.2453127992616866e-05,7768.280562625217
111,MCO,Monaco,242.527280659408,271.1138989780155,28.58661831860753,57706.89916005904,6628646758.363334,Europe,2,0.004202743245425837,114867.49166642543
112,MNG,Mongolia,1374.4611436791238,1756.0496999214915,381.5885562423677,3245666.4698936245,12035817636.552866,Asia,1,0.00042347578114647474,3708.2730921970965
113,MNE,Montenegro,236.4222942071802,634.7715146719282,398.34922046474804,676967.2836666845,5011593621.180992,Europe,2,0.00034923740025756756,7403.007120279876
114,MAR,Morocco,-1399.7416137021773,3656.7654648821845,5056.507078584362,36210032.473286316,109314194007.26024,Africa,0,-3.8656182226150345e-05,3018.8924599254633
115,MOZ,Mozambique,303.3799073280038,1414.6194269153384,1111.2395195873346,31389396.601006296,16321360521.118511,Africa,0,9.665044256323102e-06,519.96413720789
116,MMR,Myanmar,1024.2631542751078,9358.008686236648,8333.74553196154,49085382.22554134,69374946424.43222,Asia,1,2.0866969102303078e-05,1413.352474381534
117,NAM,Namibia,456.3119943739372,603.5946825711817,147.2826881972445,2410862.2726510987,13868504189.208042,Africa,0,0.00018927335648757522,5752.507866804675
118,NPL,Nepal,-5344.940552557151,7676.166962075704,13021.107514632855,41821525.9260931,27066282499.8192,Asia,1,-0.00012780357565151298,647.1854362189143
119,NLD,Netherlands,5098.183639042107,10656.619434681,5558.435795638894,17478902.471320327,694536358199.6514,Europe,2,0.0002916764166060936,39735.696182255044
120,NCL,New Caledonia,78.41280078031335,133.52592565718788,55.11312487687454,299602.1248526233,9709134815.597652,Oceania,4,0.00026172311300824464,32406.762202950507
121,NZL,New Zealand,1350.3518316863303,1659.3066323478167,308.95480066148633,3271343.0246831025,183289510749.6947,Oceania,4,0.0004127820963737485,56028.82649930913
122,NIC,Nicaragua,85.93327327576282,381.4024089849701,295.4691357092073,6851603.554412874,15225549643.669313,North America,3,1.2542067355957315e-05,2222.187772943033
123,NER,Niger,-274.31325726589193,345.0354075045543,619.3486647704462,23781181.041876942,11230103594.09097,Africa,0,-1.1534887892356823e-05,472.2264875876252
124,NGA,Nigeria,94.0730772157076,5953.332014299693,5859.258937083985,216633481.842125,405285393388.9089,Africa,0,4.3424994334100585e-07,1870.834507863687
