Country,Industries,TID,TFD,FID,FFD,HID,HFD,Gross_output,Tol_export
AFG,Finacial Intermediation and Business Activities,5717936.607343138,1987929.0614213957,118919.86384513743,100.502421396129,5599016.743498,1987828.5589999997,7705865.6687645335,119020.36626653356
AFG,Public Administration,200394.4090754717,1800680.933471661,155097.32991747168,964.0822366613239,45297.07915800001,1799716.8512349997,2001075.3425471326,156061.412154133
AFG,"Education, Health and Other Services",757158.0622621218,2300971.6089384872,237707.71881412182,1454.092908487162,519450.343448,2299517.51603,3058129.671200609,239161.81172260898
AFG,Private Households,10358.486472836152,63104.18600887545,8900.835599836151,1259.185425375448,1457.6508730000005,61845.0005835,73462.6724817116,10160.0210252116
AFG,Others,77865.93148866053,53824.02880928554,8474.050527660534,130.270501785548,69391.88096099999,53693.75830749999,131689.96029794606,8604.321029446082
AFG,Re-export & Re-import,8225.271279349028,2076.4675367505843,8102.981469349029,2066.8196027505837,122.2898099999993,9.647934000000532,10301.738816099612,10169.801072099614
ALB,Agriculture,1974304.5423780757,801261.1810053422,1111781.3870780757,312037.0152053422,862523.1553,489224.16579999996,2775565.723383418,1423818.402283418
ALB,Fishing,97106.36744355975,36791.96295637704,51674.27698955976,13557.11977637704,45432.09045399999,23234.843180000003,133898.3303999368,65231.3967659368
ALB,Mining and Quarrying,402027.19284870336,-5235.642152089051,70793.15635870333,4997.712784910938,331234.03649,-10233.35493699999,396791.5506966143,75790.86914361427
ALB,Food & Beverages,199886.56037076865,463421.47686390235,64433.26191076865,47305.90080190232,135453.29846000002,416115.576062,663308.037234671,111739.16271267096
ALB,Textiles and Wearing Apparel,165957.77532004967,227016.0597646266,155884.86104004967,205153.47450062662,10072.914279999997,21862.585263999994,392973.8350846763,361038.33554067626
ALB,Wood and Paper,380003.66925724683,26865.281679291802,86814.76232724689,7831.097382291813,293188.90692999994,19034.18429699999,406868.95093653863,94645.85970953871
ALB,"Petroleum, Chemical and Non-Metallic Mineral Products",789794.9871633558,178199.31031012087,129490.72300335577,25680.852552120818,660304.26416,152518.45775800006,967994.2974734767,155171.5755554766
ALB,Metal Products,420792.4429813341,11343.158566369211,104431.1608613341,16337.93992836921,316361.28212,-4994.781361999998,432135.6015477033,120769.1007897033
ALB,Electrical and Machinery,396816.0522935109,675817.0434709382,102150.61377351088,45031.93382393826,294665.43851999997,630785.109647,1072633.095764449,147182.54759744916
ALB,Transport Equipment,117692.69232914684,287094.89111317106,24740.095489146825,10130.039658171123,92952.59684000001,276964.85145499994,404787.5834423179,34870.135147317946
