Country,Industries,TID,TFD,FID,FFD,HID,HFD,Gross_output,Tol_export
ALB,Mining and Quarrying,401909.34587963665,-5244.37322275679,70675.30938963666,4988.9817142432,331234.03648999997,-10233.35493699999,396664.97265687987,75664.29110387986
ALB,Food & Beverages,199734.13244108955,463411.8351472244,64280.833981089505,47296.2590852244,135453.29846000005,416115.576062,663145.967588314,111577.09306631392
ALB,Textiles and Wearing Apparel,165874.55377044485,227011.10275095998,155801.63949044485,205148.51748696,10072.914279999997,21862.585263999994,392885.65652140486,360950.15697740484
ALB,Wood and Paper,379895.0373679076,26858.039281610592,86706.1304379075,7823.8549846106,293188.90693000006,19034.184296999993,406753.07664951816,94529.9854225181
ALB,"Petroleum, Chemical and Non-Metallic Mineral Products",789665.1267239677,178191.07502843704,129360.86256396773,25672.617270437,660304.26416,152518.45775800003,967856.2017524048,155033.47983440474
ALB,Metal Products,420685.80664200033,11335.8837816884,104324.52452200034,16330.665143688399,316361.28212,-4994.781361999998,432021.69042368873,120655.18966568874
ALB,Electrical and Machinery,396683.56011413253,675808.7824432497,102018.12159413249,45023.672796249804,294665.43852,630785.1096469999,1072492.3425573823,147041.7943903823
ALB,Transport Equipment,117616.46417965327,287088.0722644843,24663.867339653243,10123.22080948432,92952.59684000003,276964.851455,404704.5364441376,34787.08814913756
ALB,Other Manufacturing,104635.34947124272,109322.057678807,39512.48934124273,43092.94149780701,65122.860129999994,66229.11618099999,213957.40715004972,82605.43083904975
ALB,Recycling,33512.13512188611,-3453.327645675397,22713.5999708861,5109.609671324601,10798.535151000007,-8562.937316999998,30058.807476210714,27823.209642210702
ALB,"Electricity, Gas and Water",430745.7521159383,467380.17741931503,28780.277815938367,4646.972039315,401965.47429999994,462733.20538000006,898125.9295352533,33427.249855253365
ALB,Construction,1621888.0030684508,2465451.976189998,82041.57551845093,12048.8278029982,1539846.42755,2453403.148387,4087339.979258449,94090.40332144914
ALB,Maintenance and Repair,42057.077814737095,33308.637870258404,31266.051583737095,6675.1168172584,10791.026231,26633.521053000004,75365.71568499549,37941.16840099549
ALB,Wholesale Trade,726442.3113366234,557781.547458421,90636.90995662328,7167.3174824212,635805.4013800002,550614.2299759998,1284223.8587950445,97804.22743904448
ALB,Retail Trade,173917.08225240678,806490.1159222835,50097.165482406774,7843.551149283599,123819.91677000001,798646.5647729998,980407.1981746902,57940.716631690375
